foveola: {{en-noun|s|foveolae|foveolæ}}
foveolar: {{en-adj|-}}
foveole: {{en-noun}}
fowl: {{en-noun|fowl|s}}
fowl: {{en-verb}}
fowl: {{en-adj|er}}
fowl: {{en-noun|fowl|s}}
fowl: {{en-verb}}
fowl: {{en-adj|er}}
fowler: {{en-noun}}
fowling: {{en-noun}}
fowlpox: {{en-noun|-}}
fox: {{en-noun|+|foxen|pl2qual=nonstandard, dialectal}}
fox: {{en-verb}}
fox: {{en-noun|+|foxen|pl2qual=nonstandard, dialectal}}
fox: {{en-verb}}
foxed: {{en-adj}}
foxfire: {{en-noun|-}}
foxfish: {{en-noun|foxfish}}
foxglove: {{en-noun}}
foxhole: {{en-noun}}
foxhole: {{en-verb}}
foxhound: {{en-noun}}
foxhunt: {{en-noun}}
foxhunt: {{en-verb}}
foxhunt: {{en-noun}}
foxhunt: {{en-verb}}
foxhunter: {{en-noun}}
foxier: {{en-comparative of|foxy}}
foxiest: {{en-superlative of|foxy}}
foxily: {{en-adv}}
foxiness: {{en-noun|-}}
foxing: {{en-noun|~}}
foxlike: {{en-adj}}
foxskin: {{en-noun}}
foxtail: {{en-noun}}
foxtrot: {{en-noun}}
foxtrot: {{en-verb|++}}
foxtrot: {{en-noun}}
foxtrot: {{en-verb|++}}
foxy: {{en-noun|-}}
foxy: {{en-adj|er}}
foy: {{en-noun|~}}
foyer: {{en-noun}}
foziest: {{en-superlative of|fozy}}
foziness: {{en-noun|-}}
fozy: {{en-adj}}
fracas: {{en-noun|+|fracas}}
fractal: {{en-noun}}
fractal: {{en-adj|-}}
fracted: {{en-adj|-}}
fraction: {{en-noun}}
fraction: {{en-verb}}
fraction: {{en-noun}}
fraction: {{en-verb}}
fractional: {{en-adj}}
fractional: {{en-noun}}
fractionalization: {{en-noun}}
fractionalize: {{en-verb}}
fractionally: {{en-adv}}
fractionate: {{en-verb}}
fractionation: {{en-noun|~}}
fractionator: {{en-noun}}
fractioned: {{en-adj}}
fractious: {{en-adj}}
fractiously: {{en-adv}}
fractiousness: {{en-noun|-}}
fractur: {{en-noun}}
fracture: {{en-noun}}
fracture: {{en-verb}}
fracture: {{en-noun}}
fracture: {{en-verb}}
fractured: {{en-adj}}
fractured: {{en-adj}}
fracturing: {{en-noun}}
fractus: {{en-noun|fracti}}
fraenum: {{en-noun|fraena|s}}
frag: {{en-noun}}
frag: {{en-verb}}
fragging: {{en-noun}}
fragile: {{en-adj|fragiler|more}}
fragile: {{en-noun}}
fragility: {{en-noun|~}}
fragment: {{en-noun}}
fragment: {{en-verb}}
fragment: {{en-noun}}
fragment: {{en-verb}}
fragmental: {{en-adj|-}}
fragmental: {{en-noun}}
fragmentally: {{en-adv|-}}
fragmentarily: {{en-adv}}
fragmentariness: {{en-noun|-}}
fragmentary: {{en-adj}}
fragmentate: {{en-verb}}
fragmentation: {{en-noun|~}}
fragmented: {{en-adj}}
fragmented: {{en-adj}}
fragmentize: {{en-verb}}
fragrance: {{en-noun|~}}
fragrance: {{en-verb}}
fragrancy: {{en-noun|-|+}}
fragrant: {{en-adj}}
fragrantly: {{en-adv}}
frail: {{en-adj|er}}
frail: {{en-noun}}
frail: {{en-verb}}
frail: {{en-noun}}
frail: {{en-noun}}
frail: {{en-noun}}
frail: {{en-adj|er}}
frail: {{en-noun}}
frail: {{en-verb}}
frail: {{en-noun}}
frail: {{en-noun}}
frail: {{en-noun}}
frailer: {{en-comparative of|frail}}
frailer: {{en-noun}}
frailest: {{en-superlative of|frail}}
frailly: {{en-adv}}
frailness: {{en-noun|-|+}}
frailty: {{en-noun|~}}
fraise: {{en-verb}}
fraise: {{en-noun}}
fraise: {{en-verb}}
fraise: {{en-noun}}
fraise: {{en-noun}}
fraise: {{en-noun|?}}
fraktur: {{en-noun|~}}
framable: {{en-adj|-}}
frambesia: {{en-noun|-}}
framboise: {{en-noun|~}}
frame: {{en-verb}}
frame: {{en-noun}}
frame: {{en-verb}}
frame: {{en-noun}}
frameable: {{en-adj|-}}
framer: {{en-noun}}
frameshift: {{en-noun|~}}
frameshift: {{en-verb}}
framework: {{en-noun}}
framing: {{en-noun|~}}
framing: {{en-noun|~}}
franc: {{en-noun}}
franchise: {{en-noun|~}}
franchise: {{en-verb}}
franchise: {{en-noun|~}}
franchise: {{en-verb}}
franchisee: {{en-noun}}
franchiser: {{en-noun}}
franchising: {{en-noun|-|s}}
franchisor: {{en-noun}}
francium: {{en-noun|-|s}}
francolin: {{en-noun}}
francophone: {{en-adj|-}}
francophone: {{en-noun}}
frangibility: {{en-noun|-|+}}
frangible: {{en-adj}}
frangible: {{en-noun}}
frangipane: {{en-noun|~}}
frangipani: {{en-noun|~|s|frangipani}}
frangipanni: {{en-noun|~}}
franglais: {{en-prop}}
